,,,,,,,,,,,,,,,,,,,,,,,,,
,Content Type,Description,Frequency,Responsible Person,,,,,,,,,,,,,,,,,,,,,
,Training Program Reel : Long Term,"Short engaging reel showcasing about training program, syllabus, job opportunities, eligibility, job roles",One Time,Rutuj,,,,,,,,,,,,,,,,,,,,,
,Training Program Video : Long Term,"Detailed video showcasing about training program, syllabus, job opportunities, eligibility, job roles",One Time ,Rutuj,,,,,,,,,,,,,,,,,,,,,
,Career Path Awareness Video,"Video guiding students about career opportunities, industry scope, and career growth paths",One Time,Mayur,,,,,,,,,,,,,,,,,,,,,
,Placement Flyers,"Flyers announcing student placements, company name and success stories",6/Month,Vaidehi,,,,,,,,,,,,,,,,,,,,,
,Testimonial Flyer,"Flyer featuring student testimonials, feedback, and success stories",4/ Month,Vedika,,,,,,,,,,,,,,,,,,,,,
,Testimonial / Student Journey Reel,"Reel documenting a student’s journey, experience, learning, and placement success",3/Month,Vedika,,,,,,,,,,,,,,,,,,,,,
,Educational Reel,"Short educational reel explaining technical concepts, tips, or industry knowledge",2/Month,Rutuj,,,,,,,,,,,,,,,,,,,,,
,LinkedIn / Website Technical Blogs,"Professional technical articles focused on industry trends, engineering concepts, and career guidance",2/Month,Mayur,,,,,,,,,,,,,,,,,,,,,
,Short Technical Concept Lecture Video (>5 Min - YouTube),"Educational technical lecture video explaining industry concepts and engineering topics, giving an experience of classroom training",1/Month,Mayur,,,,,,,,,,,,,,,,,,,,,
,Google Maps Photos,"Photos uploaded to Google Business Profile showcasing infrastructure, classrooms, labs, and activities",1/Month,Vedika,,,,,,,,,,,,,,,,,,,,,
,Festival Flyer,Festival greeting or celebration flyer for branding and audience engagement,As Per Festival Calendar,Vaidehi,,,,,,,,,,,,,,,,,,,,,
,Awareness Seminar Photos,"Photos from awareness seminars including audience interaction, presentations, and activities",After Every Seminar,,,,,,,,,,,,,,,,,,,,,,
,Awareness Seminar Reel,Short reel covering key moments and highlights from awareness seminars,After Every Seminar,,,,,,,,,,,,,,,,,,,,,,
,Training Program Flyer,"Promotional flyer highlighting course details, duration, syllabus, eligibility, and admission information",3 Months before start date,Vaidehi,,,,,,,,,,,,,,,,,,,,,
,Convocation Photos,Professional photos from convocation ceremonies including medal distribution and group photos,After Every Convocation,Mayur,,,,,,,,,,,,,,,,,,,,,
,Convocation Reel,Highlight speeches of students and guests,After Every Convocation,Mayur,,,,,,,,,,,,,,,,,,,,,
,Convocation Video,Student and Guest Speeches,After Every Convocation,Mayur,,,,,,,,,,,,,,,,,,,,,
